hgnc_id	approved_symbol	approved_name	status	previous_symbols	alias_symbols	accession_numbers	refseq_ids	alias_names	ensembl_gene_id	ncbi_gene_id
HGNC:49792	ERVFRD-3	endogenous retrovirus group FRD member 3	Approved			AK091174			ENSG00000264801	100533725
HGNC:39053	ERVH-1	endogenous retrovirus group H member 1	Approved		HERV-H4p15.2	"EU669866, BC015108"			ENSG00000251292	100616446
HGNC:39054	ERVH-2	endogenous retrovirus group H member 2	Approved		HERV-HX	"EU195218, EU195219"				100616461
HGNC:39055	ERVH-3	endogenous retrovirus group H member 3	Approved		"HERV-H/F, TCONS_l2_00025412"	"AJ431196, BC021996"				100289683
HGNC:21344	ERVH-4	endogenous retrovirus group H member 4	Approved		HERV-HD1	"U88895, U35031"		clone c4.2		51359
HGNC:39057	ERVH-5	endogenous retrovirus group H member 5	Approved			U35033		clone c14.6		100862699
HGNC:39058	ERVH-6	endogenous retrovirus group H member 6	Approved			U88898				51581
HGNC:39059	ERVH-7	endogenous retrovirus group H member 7	Approved		TCONS_00022381	"BC039675, T67812"				100862698
HGNC:53421	ERVH-8	"endogenous retrovirus group H member 8, envelope"	Approved		envH1	AJ289709				
HGNC:53422	ERVH-9	"endogenous retrovirus group H member 9, envelope"	Approved		envH2	AJ289710				
HGNC:53423	ERVH-10	"endogenous retrovirus group H member 10, envelope"	Approved		"envH3, envH/p59"	AJ289711				
HGNC:17216	ERVH48-1	endogenous retrovirus group 48 member 1	Approved	"C21orf105, NDUFV3-AS1"	SUPYN	"BC005107, CR591419"	NM_001308491	suppressyn	ENSG00000233056	90625
HGNC:39052	ERVI-1	endogenous retrovirus group I member 1	Approved			"AK124340, AK124077"				100131068
HGNC:39000	ERVK-1	endogenous retrovirus group K member 1	Approved		c1_A	"FN806826, BQ304053"				
HGNC:39001	ERVK-2	endogenous retrovirus group K member 2	Approved		c3_A	"DQ112099, FN806829, EF153331"				100616100
HGNC:39002	ERVK-3	endogenous retrovirus group K member 3	Approved		c3_B	FN806830				
HGNC:13756	ERVK-4	endogenous retrovirus group K member 4	Approved	ERVK4	HERV-K(I)	AB047209				60359
HGNC:13757	ERVK-5	endogenous retrovirus group K member 5	Approved	ERVK5	HERV-K(II)	AB047240				60358
HGNC:13915	ERVK-6	"endogenous retrovirus group K member 6, envelope"	Approved	ERVK6	"HERV-K(HML-2.HOM), HERV-K108, HERV-K(C7), envK2"	AF074086	NM_001007236	"HERV-K (HML-2.HOM), ""HERV-K108 envelope protein"", ""HERV-K(C7) envelope protein"", ""HERV-K_7p22.1 provirus ancestral Env polyprotein"", ""HERV-K_7p22.1 provirus ancestral Pol protein"", ""HERV-K_7p22.1 provirus Rec protein"", ""HERV-K_7p22.1 provirus ancestral Pro protein"""		64006
HGNC:31828	ERVK-7	endogenous retrovirus group K member 7	Approved	ERVK7	"HERV-K(III), HERV-K102"	BC092439		"HERV-K_1q22 provirus ancestral Gag polyprotein, ""HERV-K_1q22 provirus ancestral Env polyprotein"", ""HERV-K_1q22 provirus Np9 protein"", ""HERV-K_1q22 provirus ancestral Pol protein"", ""HERV-K_1q22 provirus ancestral Pro protein"""		449619
HGNC:32302	ERVK-8	"endogenous retrovirus group K member 8, envelope"	Approved	ERVK8	"HERV-K115, envK6"	"FN806840, AY037929"		"HERV-K_8p23.1 provirus ancestral Env polyprotein, ""HERV-K_8p23.1 provirus ancestral Gag polyprotein"", ""HERV-K_8p23.1 provirus ancestral Pol protein"", ""HERV-K_8p23.1 provirus Rec protein"", ""HERV-K_8p23.1 provirus ancestral Pro protein"""		619465
HGNC:39005	ERVK-9	endogenous retrovirus group K member 9	Approved			"FN806836, AF080234, AY371030"		"HERV-K_6q14.1 provirus ancestral Env polyprotein, ""HERV-K_6q14.1 provirus ancestral Gag polyprotein"", ""HERV-K_6q14.1 provirus ancestral Gag-Pol polyprotein"", ""HERV-K_6q14.1 provirus ancestral Pro protein"""		
HGNC:39004	ERVK-10	endogenous retrovirus group K member 10	Approved			"FN806835, CF227253, CN345079, AF164613"		"HERV-K_5q33.3 provirus ancestral Gag polyprotein, ""HERV-K_5q33.3 provirus Np9 protein"", ""HERV-K_5q33.3 provirus ancestral Pol protein"", ""HERV-K_5q33.3 provirus ancestral Pro protein"""		100616101
HGNC:39006	ERVK-11	endogenous retrovirus group K member 11	Approved		"c3_E, N8.4"	"FN806833, EF153348, AF080229, U87590"		HERV-K_3q27.3 provirus ancestral Pol protein		
HGNC:39007	ERVK-12	endogenous retrovirus group K member 12	Approved			"FN806834, EF153341, DQ112093"				
HGNC:39008	ERVK-13	endogenous retrovirus group K member 13	Approved		c3_D	FN806832				
HGNC:39019	ERVK-14	endogenous retrovirus group K member 14	Approved		c7_B	FN806838				
HGNC:39022	ERVK-15	endogenous retrovirus group K member 15	Approved		"c7_C, P1.10"	"FN806839, U87594"				
HGNC:39023	ERVK-16	endogenous retrovirus group K member 16	Approved		"c10_A., M3.8"	"FN806841, EF543114, U87587, DQ112100"		HERV-K_10p14 provirus Rec protein		
HGNC:39024	ERVK-17	endogenous retrovirus group K member 17	Approved		c10_B	FN806842				
HGNC:39025	ERVK-18	endogenous retrovirus group K member 18	Approved		"c1_C, HERV-K18"	"FN806828, AF012336"		"HERV-K_1q23.3 provirus ancestral Env polyprotein, ""endogenous retrovirus K-18"", ""IDDMK1,2-22"", ""HERV-K_1q23.3 provirus ancestral Pol protein"", ""HERV-K_1q23.3 provirus ancestral Pro protein"""		
HGNC:39026	ERVK-19	"endogenous retrovirus group K member 19, envelope"	Approved		"P1.8, HERV-K(C19), envK3"	"U87593, AY395519"		"HERV-K_19q11 provirus ancestral Env polyprotein, ""HERV-K_19q11 provirus ancestral Pol protein"", ""HERV-K_19q11 provirus ancestral Gag polyprotein"", ""HERV-K_19q12 provirus ancestral Pro protein"""		
HGNC:39031	ERVK-20	endogenous retrovirus group K member 20	Approved		c11_B	"FN806844, DQ112095"				
HGNC:39035	ERVK-21	"endogenous retrovirus group K member 21, envelope"	Approved		"c12_A, envK1"	"FN806845, U32496"		"HERV-K_12q14.1 provirus ancestral Env polyprotein, ""HERV-K_12q14.1 provirus ancestral Gag polyprotein"", ""HERV-K_12q14.1 provirus ancestral Pro protein"", ""HERV-K_12q14.1 provirus Rec protein"""		
HGNC:39036	ERVK-22	endogenous retrovirus group K member 22	Approved		c19_A	"FN806846, EF153351"				
HGNC:39037	ERVK-23	endogenous retrovirus group K member 23	Approved		c21_A	"FN806847, EF543113"				
HGNC:39038	ERVK-24	endogenous retrovirus group K member 24	Approved		"c22_A, HERV-K101"	"FN806848, AU124350"		"HERV-K_22q11.21 provirus ancestral Env polyprotein, ""HERV-K_22q11.21 provirus ancestral Gag polyprotein"", ""HERV-K_22q11.21 provirus Np9 protein"", ""HERV-K_22q11.21 provirus ancestral Pro protein"""		
HGNC:39039	ERVK-25	endogenous retrovirus group K member 25	Approved		c11_A	"FN806843, CF227268, AW818206"		"HERV-K_11q22.1 provirus ancestral Env polyprotein, ""HERV-K_11q22.1 provirus ancestral Pol protein"", ""HERV-K_11q22.1 provirus Rec protein"", ""HERV-K_11q22.1 provirus ancestral Pro protein"""		
HGNC:44979	ERVK-26	endogenous retrovirus group K member 26	Approved			JZ164910				
HGNC:44980	ERVK-27	endogenous retrovirus group K member 27	Approved			JZ164909				
HGNC:44981	ERVK-28	endogenous retrovirus group K member 28	Approved			JZ164911			ENSG00000267696	
HGNC:44982	ERVK-29	endogenous retrovirus group K member 29	Approved			JZ164912				
HGNC:51378	ERVK-30	endogenous retrovirus group K member 30	Approved			LN624403				
HGNC:51379	ERVK-31	endogenous retrovirus group K member 31	Approved			LN624404				
HGNC:53424	ERVK-32	"endogenous retrovirus group K member 32, envelope"	Approved		"envK4, HERV-K109"	AF164615				
HGNC:30466	ERVK3-1	endogenous retrovirus group K3 member 1	Approved		HERV-K(HML6-1)	"AK054868, BC010118, BC011670"			ENSG00000142396	105372481
HGNC:39040	ERVK3-2	endogenous retrovirus group K3 member 2	Approved		HML6-c14	"AK027828, AK096726, CR591084"				
HGNC:39108	ERVK3-3	endogenous retrovirus group K3 member 3	Approved		HML6-c5	FR714893				
HGNC:39109	ERVK3-4	endogenous retrovirus group K3 member 4	Approved		HML6-c11	FR714894				
HGNC:39110	ERVK3-5	endogenous retrovirus group K3 member 5	Approved		HML6-c12	FR714895				
HGNC:39111	ERVK3-6	endogenous retrovirus group K3 member 6	Approved		HML6-c19A	FR714896				
HGNC:39112	ERVK3-7	endogenous retrovirus group K3 member 7	Approved		HML6-c19B	FR714897				
HGNC:39113	ERVK3-8	endogenous retrovirus group K3 member 8	Approved			FR714898				
HGNC:50898	ERVK9-1	"endogenous retrovirus group K9, member 1"	Approved			LM994684		HERV-K(HML-3) K102B		
HGNC:50908	ERVK9-2	"endogenous retrovirus group K9, member 2"	Approved			LM994685		HERV-K(HML-3) K22C		
HGNC:50909	ERVK9-3	"endogenous retrovirus group K9, member 3"	Approved			LM994687		HERV-K(HML-3) K26C		
HGNC:50910	ERVK9-4	"endogenous retrovirus group K9, member 4"	Approved			LM994688		HERV-K(HML-3) K83B		
HGNC:51154	ERVK9-5	"endogenous retrovirus group K9, member 5"	Approved			LM994689		HERV-K(HML-3) K104B		
HGNC:51155	ERVK9-6	"endogenous retrovirus group K9, member 6"	Approved			LM994690		HERV-K(HML-3) K58B		
HGNC:51156	ERVK9-7	"endogenous retrovirus group K9, member 7"	Approved			LM994691		HERV-K(HML-3) K103B		
HGNC:51157	ERVK9-8	"endogenous retrovirus group K9, member 8"	Approved			LM994692		HERV-K(HML-3) K49B		
HGNC:51158	ERVK9-9	"endogenous retrovirus group K9, member 9"	Approved		TCONS_00025543	LM994693		HERV-K(HML-3) K18B		
HGNC:51159	ERVK9-10	"endogenous retrovirus group K9, member 10"	Approved			LM994694		HERV-K(HML-3) K114B		
HGNC:51160	ERVK9-11	"endogenous retrovirus group K9, member 11"	Approved			LM994695		HERV-K(HML-3) K79B	ENSG00000269486	
HGNC:53627	ERVK9-12	"endogenous retrovirus group K9, member 12"	Approved			BQ446675				105375011
HGNC:43647	ERVK11-1	endogenous retrovirus group K11 member 1	Approved			"AK126628, AK128832"		HERV-K_1p13.3 provirus ancestral Env polyprotein		
HGNC:27548	ERVK13-1	endogenous retrovirus group K13 member 1	Approved				NR_040023	HERV-K_16p3.3 provirus ancestral Env polyprotein	ENSG00000260565	100507321
HGNC:42970	ERVMER34-1	"endogenous retrovirus group MER34 member 1, envelope"	Approved		envMER34		NM_024534	"HERV-MER_4q12 provirus ancestral Env polyprotein, ""endogenous retrovirus group MER34 member 1 Env polyprotein"""	ENSG00000226887	100288413
HGNC:27919	ERVMER61-1	endogenous retrovirus group MER61 member 1	Approved	C1orf99		BC040856				339476
HGNC:39042	ERVPABLB-1	"endogenous retrovirus group PABLB member 1, envelope"	Approved		envR(b)	"BQ012865, CF529244, AI189490"		HERV-R(b)_3p24.3 provirus ancestral Env polyprotein		100862693
HGNC:41525	ERVS71-1	"endogenous retrovirus group S71 member 1, envelope"	Approved		envT	"CN288807, BQ932595, BQ941761"		"HERV-T_19 provirus ancestral Env polyprotein, ""HERV-T Env protein"""		105372315
HGNC:41526	ERVS71-2	endogenous retrovirus group S71 member 2	Approved		HERV-HC2	"AB167270, AB167277"				100616200
HGNC:26501	ERVV-1	"endogenous retrovirus group V member 1, envelope"	Approved		"FLJ32214, HERV-V1, ENVV1"	"AK056776, BC104018, BC104019"	NM_152473		ENSG00000269526	147664
HGNC:39051	ERVV-2	"endogenous retrovirus group V member 2, envelope"	Approved		ENVV2	"AI434519, CA417098, DA863698"	NM_001191055		ENSG00000268964	100271846
HGNC:13525	ERVW-1	"endogenous retrovirus group W member 1, envelope"	Approved	ERVWE1	"HERV-W, HERV-W-ENV, HERVW, HERV-7q, envW"	AF208161	NM_014590	"envelope protein, ""HERV-W Env glycoprotein"", ""enverin"", ""syncytin-1"", ""HERV-tryptophan envelope protein"", ""HERV-W{7q21.1} provirus ancestral Env polyprotein"", ""HERV-7q envelope protein"", ""envelope glycoprotein"", ""syncytin"""	ENSG00000242950	30816
HGNC:37653	ERVW-2	endogenous retrovirus group W member 2	Approved	ERVWE2	NTrenv	"AF331500, FN689795"				100379323
HGNC:39041	ERVW-3	endogenous retrovirus group W member 3	Approved		CL4	AF127227				
HGNC:39043	ERVW-4	endogenous retrovirus group W member 4	Approved		C187-23	"AF123882, EF539878"				100616496
HGNC:39044	ERVW-5	endogenous retrovirus group W member 5	Approved		CL2	AF123881				100862695
HGNC:39045	ERVW-6	endogenous retrovirus group W member 6	Approved			"AK022306, AB063619"				100616198
HGNC:49246	ERVW-7	endogenous retrovirus group W member 7	Approved			HG421043				
HGNC:49247	ERVW-8	endogenous retrovirus group W member 8	Approved			HG421044				
HGNC:49248	ERVW-9	endogenous retrovirus group W member 9	Approved			HG421045				
HGNC:49249	ERVW-10	endogenous retrovirus group W member 10	Approved			HG421046				
HGNC:49250	ERVW-11	endogenous retrovirus group W member 11	Approved			HG421047				
HGNC:49251	ERVW-12	endogenous retrovirus group W member 12	Approved			HG421048				
HGNC:49252	ERVW-13	endogenous retrovirus group W member 13	Approved			HG421049				
HGNC:49253	ERVW-14	endogenous retrovirus group W member 14	Approved			HG421050				
HGNC:49254	ERVW-15	endogenous retrovirus group W member 15	Approved			HG421053				
HGNC:49255	ERVW-16	endogenous retrovirus group W member 16	Approved			HG421054				
HGNC:49256	ERVW-17	endogenous retrovirus group W member 17	Approved			HG421036				
HGNC:49306	ERVW-18	endogenous retrovirus group W member 18	Approved			HG421056				
HGNC:49307	ERVW-19	endogenous retrovirus group W member 19	Approved			HG421057				
HGNC:49308	ERVW-20	endogenous retrovirus group W member 20	Approved			HG421059				
HGNC:49309	ERVW-21	endogenous retrovirus group W member 21	Approved			HG421060				
HGNC:49310	ERVW-22	endogenous retrovirus group W member 22	Approved			HG421061				
HGNC:49311	ERVW-23	endogenous retrovirus group W member 23	Approved			HG421062				
HGNC:49312	ERVW-24	endogenous retrovirus group W member 24	Approved			HG421038				
HGNC:49313	ERVW-25	endogenous retrovirus group W member 25	Approved			HG421063				
HGNC:49314	ERVW-26	endogenous retrovirus group W member 26	Approved			HG421039				
HGNC:49315	ERVW-27	endogenous retrovirus group W member 27	Approved			HG421064				
HGNC:49316	ERVW-28	endogenous retrovirus group W member 28	Approved			HG421041				
HGNC:49378	ERVW-29	endogenous retrovirus group W member 29	Approved			HG421066				
HGNC:3462	ESA4	esterase A4	Approved							2090
HGNC:17474	ESAM	endothelial cell adhesion molecule	Approved		W117m	AK075396	NM_138961		ENSG00000149564	90952
HGNC:55558	ESAM-AS1	ESAM antisense RNA 1	Approved				NR_120577		ENSG00000250073	101929340
HGNC:3463	ESAT	esterase activator	Approved							2096
HGNC:3464	ESB3	esterase B3	Approved							
HGNC:24645	ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1	Approved		"ESO1, EFO1, KIAA1911"	AL832041	NM_052911		ENSG00000141446	114799
HGNC:27230	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2	Approved	RBS	EFO2	AF306679	NM_001017420		ENSG00000171320	157570
HGNC:3465	ESD	esterase D	Approved			M13450		S-formylglutathione hydrolase	ENSG00000139684	2098
HGNC:15898	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	Approved	C20orf6	bA526K24.1		NM_016649		ENSG00000089048	51575
HGNC:3466	ESM1	endothelial cell specific molecule 1	Approved			X89426	NM_007036		ENSG00000164283	11082
HGNC:16856	ESPL1	"extra spindle pole bodies like 1, separase"	Approved		"KIAA0165, ESP1, SEPA"	D79987	NM_012291	"separin, ""separase"", ""separin, cysteine protease"""	ENSG00000135476	9700
HGNC:13281	ESPN	espin	Approved	DFNB36		AF134401	NM_031475		ENSG00000187017	83715
HGNC:27937	ESPNL	espin like	Approved		FLJ42568	AK124559	NM_194312		ENSG00000144488	339768
HGNC:23285	ESPNP	espin pseudogene	Approved			AL035288			ENSG00000268869	284729
HGNC:3467	ESR1	estrogen receptor 1	Approved	ESR	"NR3A1, Era, ER-alpha"	X03635	NM_000125	"nuclear receptor subfamily 3 group A member 1, ""estrogen receptor alpha"", ""oestrogen receptor alpha"", ""E2 receptor alpha"""	ENSG00000091831	2099
HGNC:3468	ESR2	estrogen receptor 2	Approved		"NR3A2, Erb, ER-beta"	X99101		"ER beta, ""estrogen receptor beta"", ""oestrogen receptor beta"", ""nuclear receptor subfamily 3 group A member 2"""	ENSG00000140009	2100
HGNC:39079	ESRG	embryonic stem cell related	Approved		HESRG		NR_027122	human embryonic stem cell related gene	ENSG00000265992	790952
HGNC:25966	ESRP1	epithelial splicing regulatory protein 1	Approved	RBM35A	FLJ20171	AK000178	NM_017697		ENSG00000104413	54845
HGNC:26152	ESRP2	epithelial splicing regulatory protein 2	Approved	RBM35B	FLJ21918	AK025571	NM_024939		ENSG00000103067	80004
HGNC:3471	ESRRA	estrogen related receptor alpha	Approved	ESRL1	"ERR1, ERRalpha, NR3B1, ERRa"	"X51416, L38487"	NM_004451		ENSG00000173153	2101
HGNC:3472	ESRRAP1	estrogen-related receptor alpha pseudogene 1	Approved	ESRRAP		AL359457	NG_001009		ENSG00000215572	144847
HGNC:24647	ESRRAP2	estrogen-related receptor alpha pseudogene 2	Approved		ESTRRA	U85258	NR_000033		ENSG00000235438	144832
HGNC:3473	ESRRB	estrogen related receptor beta	Approved	"ESRL2, DFNB35"	"ERR2, ERRbeta, NR3B2, ERRb"	X51417			ENSG00000119715	2103
HGNC:3474	ESRRG	estrogen related receptor gamma	Approved		"NR3B3, ERRg, ERR-gamma"	AF058291	NM_206595		ENSG00000196482	2104
HGNC:16817	ESS2	ess-2 splicing factor homolog	Approved	"DGCR13, DGCR14"	"DGSI, Es2el, ES2, DGS-H, ESS-2, bis1"	L77566			ENSG00000100056	8220
HGNC:14865	ESX1	ESX homeobox 1	Approved	ESX1L	ESXR1	AL049631	NM_153448		ENSG00000123576	80712
HGNC:29534	ESYT1	extended synaptotagmin 1	Approved	FAM62A	"MBC2, KIAA0747"	AK074368	NM_015292		ENSG00000139641	23344
HGNC:22211	ESYT2	extended synaptotagmin 2	Approved	FAM62B	"KIAA1228, CHR2SYT"	AB033054	NM_020728		ENSG00000117868	57488
HGNC:24295	ESYT3	extended synaptotagmin 3	Approved	FAM62C	CHR3SYT	AJ303366	NM_031913		ENSG00000158220	83850
HGNC:24648	ETAA1	ETAA1 activator of ATR kinase	Approved		ETAA16	AJ242682	NM_019002		ENSG00000143971	54465
HGNC:53449	ETDA	embryonic testis differentiation homolog A	Approved				NM_001355522		ENSG00000238210	101928677
HGNC:44269	ETDB	embryonic testis differentiation homolog B	Approved	LINC00633		"AI015085, AY730280"	NR_033941		ENSG00000224107	100129515
HGNC:53450	ETDC	embryonic testis differentiation homolog C	Approved				NM_001358449		ENSG00000283644	110806299
HGNC:3477	ETF1	eukaryotic translation termination factor 1	Approved	"SUP45L1, ERF1, ERF"	"eRF1, TB3-1, RF1"	AF095901	NM_004730	"sup45 (yeast omnipotent suppressor 45) homolog-like 1, ""polypeptide chain release factor 1"""	ENSG00000120705	2107
HGNC:3478	ETF1P1	eukaryotic translation termination factor 1 pseudogene 1	Approved	SUP45L2	HCGVII		NG_001028		ENSG00000232757	6824
HGNC:3479	ETF1P2	eukaryotic translation termination factor 1 pseudogene 2	Approved	SUP45L3					ENSG00000240132	6825
HGNC:3480	ETF1P3	eukaryotic translation termination factor 1 pseudogene 3	Approved	SUP45L4		AF110131			ENSG00000233833	100132121
HGNC:3481	ETFA	electron transfer flavoprotein subunit alpha	Approved		"GA2, EMA, MADD"	J04058	NM_000126	glutaric aciduria II	ENSG00000140374	2108
HGNC:3482	ETFB	electron transfer flavoprotein subunit beta	Approved			X71129			ENSG00000105379	2109
HGNC:28739	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase	Approved	"C12orf72, METTL20"	"DKFZp451L235, MGC50559"	BC039535	NM_173802		ENSG00000139160	254013
HGNC:3483	ETFDH	electron transfer flavoprotein dehydrogenase	Approved		ETFQO	S69232			ENSG00000171503	2110
HGNC:27052	ETFRF1	electron transfer flavoprotein regulatory factor 1	Approved	LYRM5		AK057730	NM_001001660		ENSG00000205707	144363
HGNC:23287	ETHE1	ETHE1 persulfide dioxygenase	Approved		"YF13H12, HSCO"		NM_014297		ENSG00000105755	23474
HGNC:24649	ETNK1	ethanolamine kinase 1	Approved		"EKI1, EKI"	BC006111	NM_018638		ENSG00000139163	55500
HGNC:55486	ETNK1-DT	ETNK1 divergent transcript	Approved				NR_135030		ENSG00000257023	105369691
HGNC:25575	ETNK2	ethanolamine kinase 2	Approved		"FLJ10761, EKI2"	AK001623	NM_018208		ENSG00000143845	55224
HGNC:14404	ETNPPL	ethanolamine-phosphate phospho-lyase	Approved	AGXT2L1		AJ298293	NM_031279		ENSG00000164089	64850
HGNC:3488	ETS1	"ETS proto-oncogene 1, transcription factor"	Approved	EWSR2	"FLJ10768, ETS-1"		NM_005238	"Avian erythroblastosis virus E26 (v-ets) oncogene homolog-1, ""ets protein"""	ENSG00000134954	2113
HGNC:53932	ETS1-AS1	ETS1 antisense RNA 1	Approved		pancEts-1		NR_120581	Ets-1 promoter-associated noncoding RNA	ENSG00000254588	101929517
HGNC:3489	ETS2	"ETS proto-oncogene 2, transcription factor"	Approved						ENSG00000157557	2114
HGNC:55136	ETS2P1	ETS2 pseudogene 1	Approved				NG_022640		ENSG00000237833	100131617
HGNC:3490	ETV1	ETS variant transcription factor 1	Approved		ER81		NM_004956		ENSG00000006468	2115
HGNC:3491	ETV2	ETS variant transcription factor 2	Approved		ER71	AF000671	NM_014209		ENSG00000105672	2116
HGNC:3492	ETV3	ETS variant transcription factor 3	Approved		PE-1	BC022868	NM_005240		ENSG00000117036	2117
HGNC:33834	ETV3L	ETS variant transcription factor 3 like	Approved		FLJ16478	AK131392	NM_001004341		ENSG00000253831	440695
HGNC:3493	ETV4	ETS variant transcription factor 4	Approved		"E1A-F, E1AF, PEA3"	U18018	NM_001986	E1A enhancer binding protein	ENSG00000175832	2118
HGNC:3494	ETV5	ETS variant transcription factor 5	Approved		ERM	BC007333	NM_004454	ets-related molecule	ENSG00000244405	2119
HGNC:40222	ETV5-AS1	ETV5 antisense RNA 1	Approved						ENSG00000234197	
HGNC:3495	ETV6	ETS variant transcription factor 6	Approved		TEL	BC043399	NM_001987	TEL oncogene	ENSG00000139083	2120
HGNC:18160	ETV7	ETS variant transcription factor 7	Approved		"TEL2, TEL-2"	AF116508	NM_016135	TEL2 oncogene	ENSG00000010030	51513
HGNC:40833	ETV7-AS1	ETV7 and PTX1 antisense RNA 1	Approved						ENSG00000224666	105375037
HGNC:25816	EVA1A	"eva-1 homolog A, regulator of programmed cell death"	Approved	"TMEM166, FAM176A"	FLJ13391	BC016157	NM_032181		ENSG00000115363	84141
HGNC:55283	EVA1A-AS	EVA1A antisense RNA	Approved		EVA1A-AS1		NR_110281		ENSG00000231172	101927884
HGNC:25558	EVA1B	eva-1 homolog B	Approved	"C1orf78, FAM176B"	FLJ10647	AK001509	NM_018166		ENSG00000142694	55194
HGNC:13239	EVA1C	eva-1 homolog C	Approved	"C21orf64, C21orf63, FAM176C"	"B18, PRED34, B19"	AF358258	NM_058187		ENSG00000166979	59271
HGNC:55735	EVA1CP1	EVA1C pseudogene 1	Approved						ENSG00000249563	100420821
HGNC:55736	EVA1CP2	EVA1C pseudogene 2	Approved						ENSG00000271977	100420818
HGNC:55737	EVA1CP3	EVA1C pseudogene 3	Approved						ENSG00000243531	100420863
HGNC:55738	EVA1CP4	EVA1C pseudogene 4	Approved						ENSG00000255147	100420907
HGNC:55739	EVA1CP5	EVA1C pseudogene 5	Approved						ENSG00000244699	
HGNC:55740	EVA1CP6	EVA1C pseudogene 6	Approved						ENSG00000251610	
HGNC:3497	EVC	EvC ciliary complex subunit 1	Approved		"DWF-1, EVC1"	AF216184			ENSG00000072840	2121
HGNC:19747	EVC2	EvC ciliary complex subunit 2	Approved		LBN	AB083067	NM_147127	limbin	ENSG00000173040	132884
HGNC:3499	EVI2A	ecotropic viral integration site 2A	Approved	EVI2	EVDA	M55267	NM_014210		ENSG00000126860	2123
HGNC:3500	EVI2B	ecotropic viral integration site 2B	Approved		"D17S376, EVDB, CD361"		NM_006495		ENSG00000185862	2124
HGNC:3501	EVI5	ecotropic viral integration site 5	Approved		NB4S	AF008915	NM_005665	neuroblastoma stage 4S gene	ENSG00000067208	7813
HGNC:30464	EVI5L	ecotropic viral integration site 5 like	Approved			BC014111	NM_145245		ENSG00000142459	115704
HGNC:20234	EVL	Enah/Vasp-like	Approved		RNB6	AF112209			ENSG00000196405	51466
HGNC:3503	EVPL	envoplakin	Approved		EVPK	U53786	NM_001988		ENSG00000167880	2125
HGNC:35236	EVPLL	envoplakin like	Approved				NM_001145127		ENSG00000214860	645027
HGNC:3506	EVX1	even-skipped homeobox 1	Approved						ENSG00000106038	2128
HGNC:40223	EVX1-AS	EVX1 antisense RNA	Approved		EVX1-AS1	"DB455833, DB260732"		EVX1 antisense RNA 1 (non-protein coding)	ENSG00000253405	
HGNC:3507	EVX2	even-skipped homeobox 2	Approved						ENSG00000174279	344191
HGNC:26596	EWSAT1	Ewing sarcoma associated transcript 1	Approved	"TMEM84, NCRNA00277, LINC00277"	FLJ33768	AK091087	NR_026949		ENSG00000212766	283673
HGNC:3508	EWSR1	EWS RNA binding protein 1	Approved		EWS		NM_005243		ENSG00000182944	2130
HGNC:28507	EXD1	exonuclease 3'-5' domain containing 1	Approved	EXDL1	MGC33637	BC030628	NM_152596		ENSG00000178997	161829
HGNC:20217	EXD2	exonuclease 3'-5' domain containing 2	Approved	"C14orf114, EXDL2"	FLJ10738	AK001600			ENSG00000081177	55218
HGNC:26023	EXD3	exonuclease 3'-5' domain containing 3	Approved		"LOC54932, FLJ20433, mut-7, Nbr"		NM_017820	nibbler homolog	ENSG00000187609	54932
HGNC:3511	EXO1	exonuclease 1	Approved		"HEX1, hExoI"	AF042282	NM_006027	"rad2 nuclease family member, homolog of S. cerevisiae exonuclease 1"	ENSG00000174371	9156
HGNC:26115	EXO5	exonuclease 5	Approved	"C1orf176, DEM1"	FLJ21144	AK024797	NM_022774		ENSG00000164002	64789
HGNC:55647	EXO5-DT	EXO5 divergent transcript	Approved						ENSG00000238287	105378672
HGNC:30380	EXOC1	exocyst complex component 1	Approved	SEC3L1	"SEC3, FLJ10893, BM-102, Sec3p"	AK027047	NM_018261		ENSG00000090989	55763
HGNC:53433	EXOC1L	exocyst complex component 1 like	Approved				NM_001351574		ENSG00000250821	644145
HGNC:24968	EXOC2	exocyst complex component 2	Approved	SEC5L1	"FLJ11026, Sec5p"	AJ420556	NM_018303		ENSG00000112685	55770
HGNC:30378	EXOC3	exocyst complex component 3	Approved	SEC6L1	Sec6p	BC034427	NM_007277		ENSG00000180104	11336
HGNC:25175	EXOC3-AS1	EXOC3 antisense RNA 1	Approved	C5orf55		BC014011	NR_126522		ENSG00000221990	116349
HGNC:27540	EXOC3L1	exocyst complex component 3 like 1	Approved	EXOC3L	"FLJ35539, FLJ35587"	AK092858	NM_178516		ENSG00000179044	283849
HGNC:30162	EXOC3L2	exocyst complex component 3 like 2	Approved		"FLJ36147, XTP7"	AK093466	NM_138568		ENSG00000283632	90332
HGNC:20120	EXOC3L4	exocyst complex component 3 like 4	Approved	C14orf73		AK000671	NM_001077594		ENSG00000205436	91828
HGNC:30389	EXOC4	exocyst complex component 4	Approved	SEC8L1	"KIAA1699, MGC27170, SEC8, Sec8p"	AL831989	NM_021807		ENSG00000131558	60412
HGNC:10696	EXOC5	exocyst complex component 5	Approved	SEC10L1	"SEC10, SEC10P"	U85946	NM_006544		ENSG00000070367	10640
